County,State,Link
Autauga,AL,https://bao.arcgis.com/covid-19/jhu/county/01001.html
Baldwin,AL,https://bao.arcgis.com/covid-19/jhu/county/01003.html
Barbour,AL,https://bao.arcgis.com/covid-19/jhu/county/01005.html
Bibb,AL,https://bao.arcgis.com/covid-19/jhu/county/01007.html
Blount,AL,https://bao.arcgis.com/covid-19/jhu/county/01009.html
Bullock,AL,https://bao.arcgis.com/covid-19/jhu/county/01011.html
Butler,AL,https://bao.arcgis.com/covid-19/jhu/county/01013.html
Calhoun,AL,https://bao.arcgis.com/covid-19/jhu/county/01015.html
Chambers,AL,https://bao.arcgis.com/covid-19/jhu/county/01017.html
Cherokee,AL,https://bao.arcgis.com/covid-19/jhu/county/01019.html
Chilton,AL,https://bao.arcgis.com/covid-19/jhu/county/01021.html
Choctaw,AL,https://bao.arcgis.com/covid-19/jhu/county/01023.html
Clarke,AL,https://bao.arcgis.com/covid-19/jhu/county/01025.html
Clay,AL,https://bao.arcgis.com/covid-19/jhu/county/01027.html
Cleburne,AL,https://bao.arcgis.com/covid-19/jhu/county/01029.html
Coffee,AL,https://bao.arcgis.com/covid-19/jhu/county/01031.html
Colbert,AL,https://bao.arcgis.com/covid-19/jhu/county/01033.html
Conecuh,AL,https://bao.arcgis.com/covid-19/jhu/county/01035.html
Coosa,AL,https://bao.arcgis.com/covid-19/jhu/county/01037.html
Covington,AL,https://bao.arcgis.com/covid-19/jhu/county/01039.html
Crenshaw,AL,https://bao.arcgis.com/covid-19/jhu/county/01041.html
Cullman,AL,https://bao.arcgis.com/covid-19/jhu/county/01043.html
Dale,AL,https://bao.arcgis.com/covid-19/jhu/county/01045.html
Dallas,AL,https://bao.arcgis.com/covid-19/jhu/county/01047.html
De Kalb,AL,https://bao.arcgis.com/covid-19/jhu/county/01049.html
Elmore,AL,https://bao.arcgis.com/covid-19/jhu/county/01051.html
Escambia,AL,https://bao.arcgis.com/covid-19/jhu/county/01053.html
Etowah,AL,https://bao.arcgis.com/covid-19/jhu/county/01055.html
